PersonID,EAR,BlinkCount,MAR,YawnCount,EyeClosedSeconds,HeadDirection,Emotion,Timestamp
p1,0.414,0,0.014,0,0,Down,NEUTRAL,22:46:14
p1,0.423,0,0.004,0,0,Down,NEUTRAL,22:46:16
p1,0.419,0,0.018,0,0,Down,NEUTRAL,22:46:18
p1,0.307,0,0.006,2,0,Down,NEUTRAL,22:46:20
p1,0.378,0,0.024,2,0,Down,NEUTRAL,22:46:22
p1,0.358,0,0.004,2,0,Down,NEUTRAL,22:46:24
p1,0.312,0,0.01,2,0,Down,NEUTRAL,22:46:26
p1,0.37,0,0.005,4,0,Down,NEUTRAL,22:46:28
p1,0.241,2,0.012,4,0,Down,NEUTRAL,22:46:30
p1,0.275,5,0.026,4,0,Down,NEUTRAL,22:46:32
p1,0.302,10,0.004,4,0,Down,NEUTRAL,22:46:34
p1,0.377,10,0.041,4,0,Down,NEUTRAL,22:46:36
p1,0.306,10,0.007,4,0,Down,NEUTRAL,22:46:38
p2,0.366,0,0.01,0,0,Down,NEUTRAL,22:59:22
p2,0.453,0,0.019,0,0,Down,NEUTRAL,22:59:24
p2,0.175,0,0.899,1,0.02,Down,TIRED,22:59:26
p2,0.261,1,0.012,3,0,Down,NEUTRAL,22:59:28
p2,0.181,5,0.05,5,0.15,Down,ANGRY,22:59:30
p2,0.33,7,0.086,5,0,Down,NEUTRAL,22:59:32
p2,0.601,8,0.023,5,0,Left,NEUTRAL,22:59:34
p2,0.295,8,0.085,5,0,Down,NEUTRAL,22:59:36
p2,0.155,10,0.151,5,0.34,Down,TIRED,22:59:38
p2,0.101,11,0.028,5,1.76,Down,TIRED,22:59:40
p2,0.331,12,0.215,5,0,Down,NEUTRAL,22:59:42
p2,0.327,12,0.013,5,0,Down,NEUTRAL,22:59:44
p2,0.316,12,0.518,6,0,Down,HAPPY,22:59:46
p3,0.327,0,0.259,0,0,Down,NEUTRAL,07:33:37
p3,0.33,0,0.157,0,0,Down,NEUTRAL,07:33:39
p3,0.393,0,0.162,0,0,Down,NEUTRAL,07:33:42
p3,0.356,0,0.009,0,0,Down,NEUTRAL,07:33:44
p3,0.358,0,0.1,2,0,Down,NEUTRAL,07:33:46
p3,0.262,3,0.022,2,0,Down,NEUTRAL,07:33:48
p3,0.404,5,0.007,2,0,Left,NEUTRAL,07:33:50
p3,0.205,9,0.014,2,0,Up,BLINK_DETECTED,07:33:52
p3,0.455,17,0.014,2,0,Left,NEUTRAL,07:33:54
p3,0.257,24,0.408,10,0,Down,HAPPY,07:33:56
p3,0.313,24,0.016,10,0,Down,NEUTRAL,07:33:58
p3,0.141,24,0.018,10,0.99,Down,TIRED,07:34:00
p3,0.118,24,0.011,10,3.01,Down,TIRED,07:34:02
p3,0.097,24,0.016,10,5.03,Down,TIRED,07:34:04
p3,0.138,25,0.017,10,1.61,Down,TIRED,07:34:06
p3,0.184,28,0.018,10,0.0,Down,ANGRY,07:34:08
p3,0.103,28,0.019,10,2.04,Down,TIRED,07:34:10
p3,0.15,28,0.018,10,4.05,Down,TIRED,07:34:12
p3,0.147,28,0.019,10,6.06,Down,TIRED,07:34:14
p3,0.126,28,0.008,10,8.06,Down,TIRED,07:34:16
p3,0.151,28,0.013,10,10.09,Down,DROWSY,07:34:18
p3,0.267,33,0.014,10,0,Down,NEUTRAL,07:34:20
p3,0.291,33,0.023,10,0,Down,NEUTRAL,07:34:22
p3,0.339,33,0.026,10,0,Down,NEUTRAL,07:34:24
p3,0.313,33,0.024,10,0,Down,NEUTRAL,07:34:26
p4,0.286,0,0.165,0,0,Down,NEUTRAL,10:15:05
p4,0.366,0,0.04,0,0,Down,NEUTRAL,10:15:07
p4,0.39,0,0.443,1,0,Down,HAPPY,10:15:09
p4,0.283,0,0.085,1,0,Down,NEUTRAL,10:15:12
p4,0.428,0,0.451,1,0,Down,HAPPY,10:15:14
p4,0.345,0,0.409,1,0,Down,HAPPY,10:15:16
p4,0.221,0,0.023,1,0,Left,NEUTRAL,10:15:18
p4,0.408,0,0.669,1,0,Down,NEUTRAL,10:15:20
p4,0.371,0,0.413,2,0,Down,HAPPY,10:15:22
p4,0.345,0,0.401,2,0,Down,HAPPY,10:15:24
p4,0.412,0,0.352,2,0,Down,NEUTRAL,10:15:26
p4,0.394,0,0.48,3,0,Down,HAPPY,10:15:28
p4,0.466,0,0.428,3,0,Down,HAPPY,10:15:30
p4,0.398,0,1.079,3,0,Down,SURPRISED,10:15:32
p4,0.434,0,0.754,3,0,Down,SURPRISED,10:15:34
p4,0.652,3,0.024,4,0,Left,NEUTRAL,10:15:36
p4,0.397,3,0.448,4,0,Down,HAPPY,10:15:38
p4,0.331,3,0.012,4,0,Down,NEUTRAL,10:15:40
p4,0.382,3,0.443,4,0,Down,HAPPY,10:15:42
p4,0.315,3,0.104,4,0,Left,NEUTRAL,10:15:44
p4,0.321,3,0.025,4,0,Left,NEUTRAL,10:15:48
p4,0.415,3,0.497,5,0,Down,HAPPY,10:15:50
p4,0.242,5,0.005,6,0,Down,NEUTRAL,10:15:52
p4,0.136,9,0.546,7,0.16,Down,TIRED,10:15:54
p4,0.351,11,1.159,7,0,Down,SURPRISED,10:15:56
p4,0.359,13,0.529,8,0,Down,HAPPY,10:15:58
p4,0.125,15,0.003,8,1.05,Down,TIRED,10:16:00
p4,0.158,17,0.005,8,0.03,Down,TIRED,10:16:02
p4,0.329,20,0.002,8,0,Down,NEUTRAL,10:16:04
p4,0.131,23,0.005,8,0.13,Down,TIRED,10:16:06
p4,0.355,28,0.004,8,0,Down,NEUTRAL,10:16:09
p4,0.343,30,0.009,8,0,Down,NEUTRAL,10:16:11
p4,0.303,30,0.004,8,0,Down,NEUTRAL,10:16:13
p5,0.344,0,0.015,0,0,Up,NEUTRAL,10:17:35
p5,0.419,0,0.333,0,0,Down,NEUTRAL,10:17:37
p5,0.113,1,1.102,0,0.46,Down,TIRED,10:17:39
p5,0.44,5,1.345,0,0,Down,SURPRISED,10:17:41
p5,0.091,8,1.302,0,0.16,Down,TIRED,10:17:43
p5,0.728,10,0.009,1,0,Left,NEUTRAL,10:17:45
p5,0.399,10,0.02,1,0,Down,NEUTRAL,10:17:47
p5,0.124,13,0.005,1,0.34,Up,TIRED,10:17:49
p5,0.123,13,0.005,1,2.35,Down,TIRED,10:17:51
p5,0.113,14,0.012,1,0.3,Down,TIRED,10:17:53
p5,0.39,16,0.371,1,0,Down,NEUTRAL,10:17:55
p5,0.38,16,1.081,1,0,Down,SURPRISED,10:17:57
p5,0.397,16,0.008,2,0,Down,NEUTRAL,10:17:59
